prop_equal,clause_factor,repetitiveness,sat,algorithm,treewidth,num_variables,prop_deterministic,answer,instance,time,literal_factor
0.65,2.2,0,,d4,35,70,0,,70-2.2-3-0-0-0.65-41,227.7,3
0.23,2.2,0,,c2d,38,70,0,1.06107e-11,70-2.2-3-0-0-0.23-11,77.23,3
0.89,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.89-46,7.22,3
0.3,2.2,0,,c2d,35,70,0,2.251756e-09,70-2.2-3-0-0-0.3-93,54.99,3
0.83,2.2,0,,dpmc,36,70,0,2.18565e-10,70-2.2-3-0-0-0.83-86,108.63,3
0.72,2.2,0,,cachet,36,70,0,1.89002e-09,70-2.2-3-0-0-0.72-45,14.1,3
0.87,2.2,0,,dpmc,36,70,0,1.14093e-10,70-2.2-3-0-0-0.87-63,67.71,3
0.94,2.2,0,,cachet,37,70,0,3.51394e-10,70-2.2-3-0-0-0.94-52,9.31,3
0.63,2.2,0,,c2d,35,70,0,2.647124e-10,70-2.2-3-0-0-0.63-32,29.23,3
0.43,2.2,0,,cachet,37,70,0,3.82694e-12,70-2.2-3-0-0-0.43-32,4.78,3
0.93,2.2,0,,dpmc,35,70,0,1.35737e-10,70-2.2-3-0-0-0.93-74,124.62,3
0.11,2.2,0,,d4,37,70,0,1.673951e-13,70-2.2-3-0-0-0.11-74,151.98,3
0.23,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.23-54,45.5,3
0.5,2.2,0,,dpmc,34,70,0,1.17208e-09,70-2.2-3-0-0-0.5-41,80.31,3
0.71,2.2,0,,cachet,35,70,0,3.07984e-10,70-2.2-3-0-0-0.71-32,6.37,3
0.74,2.2,0,,cachet,37,70,0,1.77652e-10,70-2.2-3-0-0-0.74-36,8.21,3
0.17,2.2,0,,dpmc,34,70,0,2.4064e-11,70-2.2-3-0-0-0.17-10,91.47,3
0.06,2.2,0,,d4,36,70,0,3.146718e-12,70-2.2-3-0-0-0.06-47,105.21000000000001,3
0.54,2.2,0,,minic2d,34,70,0,0.0,70-2.2-3-0-0-0.54-24,14.07,3
0.45,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.45-81,395.47,3
0.08,2.2,0,,cachet,35,70,0,1.36038e-09,70-2.2-3-0-0-0.08-48,10.27,3
0.47,2.2,0,,c2d,34,70,0,6.872849e-11,70-2.2-3-0-0-0.47-99,23.55,3
0.98,2.2,0,,cachet,35,70,0,1.78714e-09,70-2.2-3-0-0-0.98-53,8.39,3
0.54,2.2,0,,c2d,39,70,0,,70-2.2-3-0-0-0.54-84,166.9,3
0.57,2.2,0,,d4,37,70,0,,70-2.2-3-0-0-0.57-23,255.46,3
0.62,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.62-62,403.83,3
0.88,2.2,0,,d4,35,70,0,1.357149e-09,70-2.2-3-0-0-0.88-39,95.24000000000001,3
0.96,2.2,0,,dpmc,37,70,0,1.4749e-09,70-2.2-3-0-0-0.96-77,465.14,3
0.82,2.2,0,,c2d,35,70,0,9.815344e-11,70-2.2-3-0-0-0.82-59,76.24,3
0.32,2.2,0,,cachet,34,70,0,2.16854e-09,70-2.2-3-0-0-0.32-45,5.07,3
0.79,2.2,0,,d4,34,70,0,,70-2.2-3-0-0-0.79-6,239.87,3
0.42,2.2,0,,cachet,37,70,0,1.20876e-09,70-2.2-3-0-0-0.42-45,14.85,3
0.73,2.2,0,,d4,35,70,0,1.9815e-09,70-2.2-3-0-0-0.73-70,46.12,3
0.63,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.63-71,17.56,3
0.55,2.2,0,,dpmc,37,70,0,3.66935e-11,70-2.2-3-0-0-0.55-75,204.87,3
0.68,2.2,0,,cachet,35,70,0,4.3896e-11,70-2.2-3-0-0-0.68-21,4.11,3
0.24,2.2,0,,cachet,37,70,0,6.38207e-10,70-2.2-3-0-0-0.24-90,16.08,3
0.72,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.72-50,24.87,3
0.27,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.27-92,35.76,3
0.58,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.58-50,21.13,3
0.49,2.2,0,,cachet,34,70,0,4.6625e-11,70-2.2-3-0-0-0.49-17,1.38,3
0.08,2.2,0,,cachet,36,70,0,1.77111e-11,70-2.2-3-0-0-0.08-86,12.26,3
0.48,2.2,0,,d4,36,70,0,4.567654e-11,70-2.2-3-0-0-0.48-81,122.4,3
0.23,2.2,0,,c2d,36,70,0,9.694431e-11,70-2.2-3-0-0-0.23-54,76.45,3
0.2,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.2-67,332.87,3
0.81,2.2,0,,cachet,35,70,0,4.3241e-09,70-2.2-3-0-0-0.81-79,8.0,3
0.45,2.2,0,,c2d,36,70,0,2.190458e-11,70-2.2-3-0-0-0.45-38,80.82,3
0.9,2.2,0,,cachet,36,70,0,1.5449e-09,70-2.2-3-0-0-0.9-68,11.86,3
0.87,2.2,0,,d4,35,70,0,1.308214e-09,70-2.2-3-0-0-0.87-90,144.53,3
0.4,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.4-88,28.89,3
0.39,2.2,0,,cachet,36,70,0,3.30673e-11,70-2.2-3-0-0-0.39-12,7.51,3
0.17,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.17-41,8.77,3
0.67,2.2,0,,cachet,33,70,0,1.77735e-10,70-2.2-3-0-0-0.67-86,5.77,3
0.3,2.2,0,,dpmc,37,70,0,,70-2.2-3-0-0-0.3-72,500.44,3
0.19,2.2,0,,cachet,34,70,0,1.93834e-10,70-2.2-3-0-0-0.19-13,6.61,3
0.93,2.2,0,,minic2d,37,70,0,0.0,70-2.2-3-0-0-0.93-52,22.41,3
0.39,2.2,0,,dpmc,36,70,0,5.19213e-11,70-2.2-3-0-0-0.39-34,105.91,3
0.37,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.37-19,18.83,3
0.04,2.2,0,,dpmc,36,70,0,0,70-2.2-3-0-0-0.04-63,468.98,3
0.27,2.2,0,,cachet,34,70,0,3.21976e-10,70-2.2-3-0-0-0.27-77,4.0,3
0.26,2.2,0,,d4,37,70,0,2.838302e-11,70-2.2-3-0-0-0.26-18,62.67,3
0.05,2.2,0,,d4,36,70,0,8.073812e-12,70-2.2-3-0-0-0.05-39,104.16,3
0.76,2.2,0,,d4,37,70,0,1.684685e-09,70-2.2-3-0-0-0.76-96,141.11,3
0.5,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.5-95,93.82,3
0.88,2.2,0,,cachet,37,70,0,1.15706e-10,70-2.2-3-0-0-0.88-36,2.96,3
0.75,2.2,0,,dpmc,36,70,0,1.0374e-10,70-2.2-3-0-0-0.75-31,467.31,3
0.57,2.2,0,,cachet,38,70,0,7.50223e-12,70-2.2-3-0-0-0.57-5,10.03,3
0.83,2.2,0,,d4,36,70,0,,70-2.2-3-0-0-0.83-65,483.74,3
0.95,2.2,0,,minic2d,34,70,0,0.0,70-2.2-3-0-0-0.95-19,10.01,3
0.54,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.54-33,34.15,3
0.36,2.2,0,,dpmc,36,70,0,8.45268e-11,70-2.2-3-0-0-0.36-72,292.76,3
0.72,2.2,0,,dpmc,37,70,0,1.5644e-10,70-2.2-3-0-0-0.72-28,191.98,3
0.18,2.2,0,,c2d,37,70,0,,70-2.2-3-0-0-0.18-57,258.32,3
0.07,2.2,0,,cachet,35,70,0,1.53156e-14,70-2.2-3-0-0-0.07-93,4.48,3
0.47,2.2,0,,c2d,35,70,0,3.139772e-10,70-2.2-3-0-0-0.47-28,81.95,3
0.62,2.2,0,,d4,34,70,0,4.863455e-11,70-2.2-3-0-0-0.62-18,69.27,3
0.53,2.2,0,,d4,37,70,0,1.793795e-11,70-2.2-3-0-0-0.53-30,113.66,3
0.46,2.2,0,,d4,37,70,0,1.120481e-09,70-2.2-3-0-0-0.46-18,125.03,3
0.72,2.2,0,,dpmc,36,70,0,7.24838e-10,70-2.2-3-0-0-0.72-16,297.64,3
0.94,2.2,0,,c2d,36,70,0,,70-2.2-3-0-0-0.94-21,294.25,3
0.61,2.2,0,,dpmc,34,70,0,2.62032e-10,70-2.2-3-0-0-0.61-72,112.39,3
0.15,2.2,0,,d4,34,70,0,4.40686e-12,70-2.2-3-0-0-0.15-49,44.17,3
0.17,2.2,0,,minic2d,38,70,0,0.0,70-2.2-3-0-0-0.17-24,47.79,3
0.03,2.2,0,,c2d,36,70,0,1.146516e-09,70-2.2-3-0-0-0.03-71,66.78,3
0.4,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.4-66,51.68,3
0.12,2.2,0,,c2d,37,70,0,,70-2.2-3-0-0-0.12-81,180.33,3
0.35,2.2,0,,minic2d,36,70,0,0.0,70-2.2-3-0-0-0.35-78,14.4,3
0.37,2.2,0,,c2d,37,70,0,,70-2.2-3-0-0-0.37-91,223.93,3
0.64,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.64-79,11.51,3
0.52,2.2,0,,d4,35,70,0,,70-2.2-3-0-0-0.52-59,124.78,3
0.39,2.2,0,,dpmc,35,70,0,8.58131e-10,70-2.2-3-0-0-0.39-74,199.93,3
0.05,2.2,0,,dpmc,37,70,0,,70-2.2-3-0-0-0.05-3,500.64,3
0.49,2.2,0,,d4,34,70,0,1.537977e-10,70-2.2-3-0-0-0.49-78,133.03,3
0.14,2.2,0,,c2d,36,70,0,,70-2.2-3-0-0-0.14-30,117.3,3
0.56,2.2,0,,minic2d,35,70,0,0.0,70-2.2-3-0-0-0.56-11,20.05,3
0.18,2.2,0,,cachet,36,70,0,1.099e-11,70-2.2-3-0-0-0.18-11,4.85,3
0.88,2.2,0,,d4,36,70,0,1.45294e-09,70-2.2-3-0-0-0.88-28,85.84,3
0.73,2.2,0,,cachet,37,70,0,3.46463e-10,70-2.2-3-0-0-0.73-38,7.11,3
0.09,2.2,0,,minic2d,37,70,0,0.0,70-2.2-3-0-0-0.09-84,9.95,3
0.75,2.2,0,,cachet,34,70,0,2.19401e-09,70-2.2-3-0-0-0.75-30,13.54,3
0.18,2.2,0,,dpmc,36,70,0,6.48783e-11,70-2.2-3-0-0-0.18-87,228.5,3
0.28,2.2,0,,d4,35,70,0,,70-2.2-3-0-0-0.28-13,234.52,3
0.71,2.2,0,,dpmc,36,70,0,9.61994e-10,70-2.2-3-0-0-0.71-88,248.19,3
0.15,2.2,0,,d4,35,70,0,,70-2.2-3-0-0-0.15-98,131.89,3
0.99,2.2,0,,cachet,36,70,0,4.79832e-10,70-2.2-3-0-0-0.99-90,4.4,3
