repetitiveness,sat,prop_equal,prop_deterministic,treewidth,literal_factor,clause_factor,instance
0.26,0,0,0,1,1,3.5355339059327378,100-3.5355339059327378-1-0.26-0-0-1
0.97,0,0,0,2,2,3.5355339059327378,100-3.5355339059327378-2-0.97-0-0-5
0.01,0,0,0,1,1,1.7677669529663689,100-1.7677669529663689-1-0.01-0-0-6
0.59,1,0,0,51,5,1.25,100-1.25-5-0.59-0-0-10
0.5,1,0,0,50,3,3.5355339059327378,100-3.5355339059327378-3-0.5-0-0-5
0.07,0,0,0,1,1,0.625,100-0.625-1-0.07-0-0-5
0.57,1,0,0,27,3,1.7677669529663689,100-1.7677669529663689-3-0.57-0-0-10
0.86,0,0,0,2,2,1.25,100-1.25-2-0.86-0-0-7
0.93,0,0,0,1,1,1.25,100-1.25-1-0.93-0-0-7
0.33,0,0,0,25,2,3.5355339059327378,100-3.5355339059327378-2-0.33-0-0-8
0.38,1,0,0,15,3,0.8838834764831844,100-0.8838834764831844-3-0.38-0-0-6
0.68,1,0,0,29,4,1.25,100-1.25-4-0.68-0-0-1
0.28,1,0,0,13,4,0.4419417382415922,100-0.4419417382415922-4-0.28-0-0-7
0.05,1,0,0,12,3,0.625,100-0.625-3-0.05-0-0-1
0.87,1,0,0,51,5,2.5,100-2.5-5-0.87-0-0-4
0.82,0,0,0,4,2,2.5,100-2.5-2-0.82-0-0-7
0.6,1,0,0,3,2,0.625,100-0.625-2-0.6-0-0-4
0.29,0,0,0,1,1,1.7677669529663689,100-1.7677669529663689-1-0.29-0-0-8
0.93,1,0,0,42,5,1.7677669529663689,100-1.7677669529663689-5-0.93-0-0-1
0.59,1,0,0,92,5,10.0,100-10.0-5-0.59-0-0-4
0.63,1,0,0,6,3,0.8838834764831844,100-0.8838834764831844-3-0.63-0-0-2
0.38,1,0,0,93,5,10.0,100-10.0-5-0.38-0-0-2
0.0,0,0,0,1,1,2.5,100-2.5-1-0.0-0-0-6
0.47,0,0,0,1,1,0.4419417382415922,100-0.4419417382415922-1-0.47-0-0-4
0.92,0,0,0,12,2,10.0,100-10.0-2-0.92-0-0-9
0.97,1,0,0,6,3,2.5,100-2.5-3-0.97-0-0-3
0.89,0,0,0,23,3,3.5355339059327378,100-3.5355339059327378-3-0.89-0-0-9
0.67,1,0,0,34,5,0.8838834764831844,100-0.8838834764831844-5-0.67-0-0-2
0.2,1,0,0,92,5,7.0710678118654755,100-7.0710678118654755-5-0.2-0-0-1
0.13,1,0,0,24,4,0.625,100-0.625-4-0.13-0-0-7
0.07,1,0,0,27,5,0.4419417382415922,100-0.4419417382415922-5-0.07-0-0-6
0.5,1,0,0,56,5,1.25,100-1.25-5-0.5-0-0-3
0.32,0,0,0,11,2,1.7677669529663689,100-1.7677669529663689-2-0.32-0-0-7
0.37,1,0,0,90,5,7.0710678118654755,100-7.0710678118654755-5-0.37-0-0-8
0.8,0,0,0,46,3,5.0,100-5.0-3-0.8-0-0-4
0.11,1,0,0,60,3,3.5355339059327378,100-3.5355339059327378-3-0.11-0-0-5
0.9,1,0,0,35,4,2.5,100-2.5-4-0.9-0-0-7
0.09,1,0,0,51,3,2.5,100-2.5-3-0.09-0-0-2
0.4,1,0,0,2,2,0.625,100-0.625-2-0.4-0-0-9
0.3,0,0,0,27,2,3.5355339059327378,100-3.5355339059327378-2-0.3-0-0-7
0.15,0,0,0,1,1,1.7677669529663689,100-1.7677669529663689-1-0.15-0-0-1
0.43,1,0,0,14,3,0.8838834764831844,100-0.8838834764831844-3-0.43-0-0-9
0.22,1,0,0,75,4,3.5355339059327378,100-3.5355339059327378-4-0.22-0-0-1
0.99,1,0,0,34,5,3.5355339059327378,100-3.5355339059327378-5-0.99-0-0-4
0.41,1,0,0,33,4,0.8838834764831844,100-0.8838834764831844-4-0.41-0-0-6
0.44,1,0,0,77,4,5.0,100-5.0-4-0.44-0-0-9
0.21,0,0,0,61,2,10.0,100-10.0-2-0.21-0-0-5
0.79,0,0,0,1,1,14.142135623730951,100-14.142135623730951-1-0.79-0-0-7
0.5,0,0,0,1,1,0.625,100-0.625-1-0.5-0-0-10
0.81,1,0,0,43,4,2.5,100-2.5-4-0.81-0-0-8
0.04,1,0,0,93,5,7.0710678118654755,100-7.0710678118654755-5-0.04-0-0-4
0.19,1,0,0,82,5,3.5355339059327378,100-3.5355339059327378-5-0.19-0-0-9
0.1,0,0,0,1,1,1.7677669529663689,100-1.7677669529663689-1-0.1-0-0-2
1.0,1,0,0,14,5,1.7677669529663689,100-1.7677669529663689-5-1.0-0-0-5
0.88,1,0,0,72,4,7.0710678118654755,100-7.0710678118654755-4-0.88-0-0-10
0.94,1,0,0,46,5,2.5,100-2.5-5-0.94-0-0-10
0.03,1,0,0,42,5,0.625,100-0.625-5-0.03-0-0-5
0.05,1,0,0,11,3,0.625,100-0.625-3-0.05-0-0-3
0.22,0,0,0,39,2,5.0,100-5.0-2-0.22-0-0-4
0.69,0,0,0,1,1,5.0,100-5.0-1-0.69-0-0-9
0.8,0,0,0,15,2,5.0,100-5.0-2-0.8-0-0-2
0.94,0,0,0,78,4,10.0,100-10.0-4-0.94-0-0-6
1.0,0,0,0,1,1,5.0,100-5.0-1-1.0-0-0-1
