instance,exact,approximate
70-1.0-3-0.21-0-0-24,14,15
70-2.2-3-0.24-0-0-40,31,32
70-1.0-3-0.36-0-0-21,13,13
70-1.3-3-0.5-0-0-11,14,15
70-4.0-3-0.42-0-0-80,40,43
70-1.0-3-0.43-0-0-33,11,12
70-3.1-3-0.21-0-0-52,37,39
70-2.5-3-0.11-0-0-51,36,38
70-2.2-3-0.5-0-0-50,26,29
70-1.3-3-0.45-0-0-100,18,18
70-1.6-3-0.4-0-0-20,21,23
70-2.2-3-0.45-0-0-60,26,29
70-1.0-3-0.1-0-0-44,16,18
70-4.0-3-0.11-0-0-51,44,48
70-4.3-3-0.4-0-0-275,39,41
70-1.0-3-0.17-0-0-80,15,15
70-1.0-3-0.04-0-0-3,17,18
70-3.4-3-0.22-0-0-10,37,41
70-1.0-3-0.22-0-0-14,17,18
70-3.4-3-0.21-0-0-100,39,42
70-1.6-3-0.0-0-0-22,28,29
70-1.0-3-0.07-0-0-51,17,17
70-1.0-3-0.06-0-0-32,17,18
70-1.0-3-0.13-0-0-13,17,18
70-1.0-3-0.06-0-0-61,16,17
70-1.0-3-0.35-0-0-72,11,11
70-2.5-3-0.02-0-0-20,38,40
70-1.0-3-0.48-0-0-50,14,14
70-1.6-3-0.4-0-0-100,21,23
70-4.0-3-0.2-0-0-61,43,44
70-1.0-3-0.23-0-0-73,13,14
70-1.3-3-0.05-0-0-41,23,24
70-1.0-3-0.32-0-0-51,12,13
70-2.2-3-0.4-0-0-100,27,28
70-2.2-3-0.05-0-0-10,32,33
70-2.2-3-0.43-0-0-41,26,28
70-1.0-3-0.42-0-0-14,11,11
70-1.0-3-0.41-0-0-21,11,12
70-1.3-3-0.5-0-0-10,17,17
70-3.1-3-0.21-0-0-41,39,40
70-1.0-3-0.17-0-0-11,16,17
70-3.4-3-0.01-0-0-30,43,45
70-1.3-3-0.15-0-0-51,20,20
70-1.3-3-0.21-0-0-23,19,20
70-1.0-3-0.32-0-0-64,12,13
70-4.0-3-0.22-0-0-30,42,42
70-1.6-3-0.13-0-0-40,25,27
70-2.5-3-0.12-0-0-50,34,35
70-2.8-3-0.42-0-0-86,33,36
70-1.3-3-0.33-0-0-41,18,19
70-3.1-3-0.34-0-0-100,36,38
70-1.3-3-0.4-0-0-51,16,17
70-1.6-3-0.22-0-0-80,20,22
70-1.3-3-0.35-0-0-60,17,18
70-2.2-3-0.42-0-0-52,26,28
70-1.0-3-0.32-0-0-83,12,13
70-4.0-3-0.41-0-0-80,39,41
70-3.1-3-0.1-0-0-90,39,42
70-3.4-3-0.02-0-0-20,40,42
70-4.0-3-0.21-0-0-1,42,45
70-2.2-3-0.44-0-0-60,28,31
70-1.3-3-0.4-0-0-31,14,15
70-1.0-3-0.06-0-0-90,17,18
70-3.1-3-0.04-0-0-40,40,42
70-3.4-3-0.11-0-0-70,40,42
70-2.2-3-0.41-0-0-62,27,28
70-1.0-3-0.3-0-0-92,13,13
70-1.3-3-0.21-0-0-40,20,21
70-1.6-3-0.13-0-0-60,25,27
70-1.3-3-0.16-0-0-40,21,23
70-1.0-3-0.01-0-0-84,15,16
70-4.0-3-0.0-0-0-41,46,48
70-3.1-3-0.34-0-0-30,37,39
70-3.4-3-0.42-0-0-30,37,39
70-4.0-3-0.12-0-0-21,45,46
70-1.3-3-0.31-0-0-32,18,20
70-1.3-3-0.12-0-0-42,21,23
70-1.6-3-0.2-0-0-41,25,27
70-3.1-3-0.5-0-0-30,32,32
70-1.6-3-0.23-0-0-40,24,28
70-1.0-3-0.05-0-0-81,17,19
70-2.2-3-0.21-0-0-82,30,31
70-3.1-3-0.33-0-0-60,36,37
70-1.6-3-0.13-0-0-70,25,26
70-2.2-3-0.16-0-0-100,33,34
70-3.1-3-0.1-0-0-51,41,43
70-1.3-3-0.0-0-0-80,22,25
70-4.0-3-0.02-0-0-70,44,45
70-1.0-3-0.17-0-0-21,15,17
70-4.3-3-0.0-0-0-130,46,49
70-1.3-3-0.01-0-0-42,22,23
70-2.5-3-0.1-0-0-30,35,37
70-1.0-3-0.06-0-0-21,17,17
70-1.6-3-0.3-0-0-60,22,23
70-3.1-3-0.02-0-0-61,38,40
70-3.1-3-0.41-0-0-11,35,38
70-1.6-3-0.21-0-0-51,23,24
70-1.0-3-0.34-0-0-23,16,16
70-4.3-3-0.21-0-0-30,42,43
70-4.0-3-0.14-0-0-60,45,46
70-4.0-3-0.2-0-0-50,44,46
70-1.0-3-0.4-0-0-33,14,14
70-3.1-3-0.3-0-0-41,37,40
70-1.6-3-0.41-0-0-51,21,22
70-1.0-3-0.13-0-0-82,15,17
70-2.2-3-0.12-0-0-2,32,35
70-2.2-3-0.06-0-0-30,33,34
70-1.0-3-0.16-0-0-51,16,18
70-3.1-3-0.11-0-0-12,38,41
70-4.0-3-0.11-0-0-61,43,46
70-4.0-3-0.32-0-0-111,42,44
70-3.1-3-0.0-0-0-72,41,42
70-1.6-3-0.33-0-0-10,22,22
70-4.0-3-0.33-0-0-100,40,43
70-2.2-3-0.33-0-0-61,27,29
70-3.1-3-0.42-0-0-71,32,35
70-2.5-3-0.41-0-0-50,30,33
70-1.3-3-0.46-0-0-20,16,17
70-1.0-3-0.4-0-0-13,11,13
70-1.0-3-0.14-0-0-22,15,15
70-1.3-3-0.0-0-0-33,21,22
70-2.5-3-0.0-0-0-1,37,38
70-1.0-3-0.22-0-0-44,14,15
70-1.3-3-0.41-0-0-42,17,19
70-3.1-3-0.23-0-0-60,37,40
70-1.0-3-0.41-0-0-4,12,12
70-1.3-3-0.24-0-0-41,21,21
70-1.3-3-0.05-0-0-50,23,24
70-3.1-3-0.15-0-0-50,38,39
70-1.6-3-0.1-0-0-1,25,26
70-3.1-3-0.43-0-0-41,34,37
70-2.2-3-0.32-0-0-12,28,32
70-2.2-3-0.34-0-0-60,29,29
70-1.6-3-0.32-0-0-70,22,24
70-3.1-3-0.13-0-0-70,39,42
70-1.3-3-0.45-0-0-10,13,15
70-4.0-3-0.2-0-0-60,42,44
70-2.5-3-0.23-0-0-50,34,36
70-2.5-3-0.3-0-0-20,34,35
70-1.0-3-0.2-0-0-51,15,16
70-2.5-3-0.21-0-0-20,34,37
70-1.0-3-0.3-0-0-13,13,13
70-3.4-3-0.0-0-0-100,42,43
70-3.1-3-0.41-0-0-90,34,36
70-4.3-3-0.41-0-0-230,41,43
70-1.3-3-0.25-0-0-80,17,18
70-1.3-3-0.33-0-0-52,18,20
70-1.0-3-0.08-0-0-10,16,17
70-2.2-3-0.24-0-0-20,29,30
70-4.0-3-0.34-0-0-20,39,41
70-1.0-3-0.17-0-0-1,16,16
70-4.0-3-0.0-0-0-32,45,48
70-4.0-3-0.0-0-0-62,44,46
70-4.0-3-0.43-0-0-30,40,42
70-3.1-3-0.41-0-0-52,33,35
