instance,exact,approximate
70-1.3-3-0.24-0-0-71,22,23
70-1.0-3-0.45-0-0-91,13,13
70-2.2-3-0.11-0-0-42,32,34
70-4.3-3-0.31-0-0-110,42,45
70-3.1-3-0.33-0-0-100,34,35
70-1.6-3-0.13-0-0-50,27,29
70-1.6-3-0.41-0-0-31,20,21
70-2.2-3-0.14-0-0-60,33,34
70-1.6-3-0.41-0-0-90,22,23
70-1.0-3-0.21-0-0-83,13,14
70-1.0-3-0.38-0-0-100,15,16
70-1.0-3-0.0-0-0-35,16,17
70-4.0-3-0.23-0-0-50,42,45
70-4.0-3-0.0-0-0-31,47,48
70-3.1-3-0.03-0-0-30,40,41
70-3.1-3-0.3-0-0-50,38,39
70-1.6-3-0.22-0-0-60,24,26
70-1.0-3-0.23-0-0-33,11,11
70-1.0-3-0.33-0-0-92,14,15
70-4.0-3-0.2-0-0-101,43,46
70-1.3-3-0.32-0-0-12,17,17
70-2.2-3-0.03-0-0-21,33,37
70-2.5-3-0.22-0-0-10,34,36
70-2.2-3-0.15-0-0-10,32,33
70-2.5-3-0.32-0-0-50,32,35
70-2.5-3-0.22-0-0-30,34,38
70-1.3-3-0.35-0-0-70,18,19
70-1.0-3-0.43-0-0-82,9,9
70-2.2-3-0.25-0-0-70,30,32
70-1.0-3-0.44-0-0-82,11,11
70-1.0-3-0.38-0-0-50,11,11
70-3.1-3-0.35-0-0-10,35,38
70-1.3-3-0.34-0-0-1,18,19
70-4.0-3-0.12-0-0-11,46,47
70-3.4-3-0.0-0-0-31,43,44
70-1.0-3-0.42-0-0-13,11,11
70-1.0-3-0.02-0-0-44,19,19
70-1.0-3-0.05-0-0-2,18,19
70-1.6-3-0.31-0-0-90,21,23
70-1.3-3-0.04-0-0-51,20,21
70-1.3-3-0.25-0-0-50,19,20
70-2.5-3-0.03-0-0-50,36,38
70-1.3-3-0.05-0-0-30,23,24
70-1.3-3-0.15-0-0-100,21,22
70-1.3-3-0.33-0-0-1,20,21
70-1.3-3-0.21-0-0-33,21,22
70-2.2-3-0.4-0-0-50,27,28
70-4.0-3-0.11-0-0-11,44,44
70-1.6-3-0.22-0-0-30,24,25
70-1.0-3-0.34-0-0-72,12,14
70-1.6-3-0.19-0-0-94,24,27
70-1.0-3-0.12-0-0-24,14,14
70-1.0-3-0.44-0-0-2,11,12
70-1.0-3-0.04-0-0-72,16,17
70-1.6-3-0.02-0-0-31,29,30
70-1.3-3-0.02-0-0-52,23,24
70-2.2-3-0.13-0-0-1,31,34
70-1.3-3-0.22-0-0-42,21,23
70-2.2-3-0.26-0-0-30,31,33
70-1.3-3-0.02-0-0-42,23,24
70-1.3-3-0.23-0-0-61,19,19
70-2.5-3-0.42-0-0-60,29,31
70-4.0-3-0.02-0-0-40,45,46
70-3.1-3-0.14-0-0-10,38,40
70-1.3-3-0.05-0-0-1,23,26
70-1.3-3-0.35-0-0-21,18,20
70-2.2-3-0.44-0-0-70,25,25
70-1.3-3-0.31-0-0-22,19,20
70-1.0-3-0.03-0-0-63,17,17
70-3.1-3-0.24-0-0-100,37,38
70-3.1-3-0.31-0-0-52,35,37
70-3.1-3-0.42-0-0-90,36,38
70-1.6-3-0.1-0-0-41,23,25
70-2.5-3-0.31-0-0-40,32,35
70-1.0-3-0.06-0-0-31,17,18
70-4.3-3-0.31-0-0-30,43,46
70-2.2-3-0.42-0-0-51,25,27
70-2.2-3-0.26-0-0-100,30,33
70-2.2-3-0.32-0-0-32,29,31
70-1.3-3-0.11-0-0-23,21,23
70-3.4-3-0.41-0-0-30,36,38
70-1.0-3-0.46-0-0-21,10,12
70-3.1-3-0.32-0-0-80,37,39
70-3.1-3-0.04-0-0-50,40,41
70-2.2-3-0.01-0-0-72,35,38
70-1.0-3-0.41-0-0-93,12,13
70-1.0-3-0.16-0-0-32,15,15
70-1.0-3-0.37-0-0-70,11,12
70-1.3-3-0.41-0-0-62,16,17
70-1.0-3-0.23-0-0-40,14,14
70-1.6-3-0.04-0-0-40,27,28
70-1.0-3-0.18-0-0-10,15,15
70-3.1-3-0.41-0-0-12,32,34
70-2.2-3-0.42-0-0-90,28,28
70-1.6-3-0.32-0-0-20,24,25
70-2.2-3-0.11-0-0-82,33,35
70-3.4-3-0.12-0-0-60,40,41
70-1.3-3-0.05-0-0-70,22,23
70-1.6-3-0.11-0-0-61,26,29
70-1.0-3-0.08-0-0-70,13,14
70-1.3-3-0.32-0-0-2,19,20
70-2.2-3-0.32-0-0-61,28,31
70-4.0-3-0.04-0-0-50,45,47
70-1.6-3-0.11-0-0-31,28,29
70-1.6-3-0.11-0-0-1,28,29
70-2.2-3-0.45-0-0-10,27,30
70-2.2-3-0.32-0-0-81,29,31
70-1.3-3-0.34-0-0-71,15,16
70-1.3-3-0.46-0-0-50,13,14
70-4.3-3-0.0-0-0-160,47,50
70-2.2-3-0.2-0-0-12,28,31
70-1.0-3-0.22-0-0-4,15,16
70-1.0-3-0.41-0-0-83,10,10
70-1.3-3-0.41-0-0-22,17,18
70-1.6-3-0.01-0-0-80,27,30
70-1.0-3-0.3-0-0-82,11,13
70-1.3-3-0.41-0-0-2,15,15
70-2.2-3-0.25-0-0-50,30,32
70-3.1-3-0.31-0-0-12,37,38
70-2.2-3-0.4-0-0-21,29,31
70-4.0-3-0.24-0-0-110,42,43
70-2.2-3-0.04-0-0-100,31,32
70-2.2-3-0.02-0-0-61,32,34
70-3.4-3-0.12-0-0-20,39,42
70-1.6-3-0.33-0-0-50,24,25
70-1.6-3-0.12-0-0-46,25,26
70-3.1-3-0.44-0-0-100,33,35
70-2.2-3-0.44-0-0-50,25,26
70-2.5-3-0.1-0-0-11,35,37
70-3.1-3-0.02-0-0-41,40,41
70-2.5-3-0.0-0-0-31,37,39
70-1.6-3-0.0-0-0-81,26,27
70-1.6-3-0.23-0-0-70,25,27
70-3.4-3-0.01-0-0-50,44,47
70-2.2-3-0.24-0-0-50,29,33
70-2.2-3-0.33-0-0-90,29,31
70-1.3-3-0.3-0-0-52,18,19
70-4.0-3-0.2-0-0-41,43,45
70-1.3-3-0.45-0-0-51,15,16
70-1.6-3-0.22-0-0-1,22,25
70-1.0-3-0.3-0-0-53,14,15
70-1.3-3-0.12-0-0-22,21,21
70-1.0-3-0.33-0-0-33,11,11
70-1.3-3-0.4-0-0-90,15,16
70-1.3-3-0.2-0-0-32,19,20
70-2.2-3-0.33-0-0-1,29,31
70-1.0-3-0.27-0-0-70,13,15
70-4.0-3-0.03-0-0-30,43,44
70-2.5-3-0.22-0-0-40,33,35
70-1.0-3-0.42-0-0-54,13,14
70-1.0-3-0.16-0-0-21,16,16
70-1.0-3-0.13-0-0-73,13,13
70-1.0-3-0.16-0-0-90,12,13
70-2.5-3-0.13-0-0-10,34,36
70-1.0-3-0.0-0-0-25,14,15
70-3.1-3-0.31-0-0-51,35,36
70-1.6-3-0.41-0-0-11,21,24
70-2.5-3-0.42-0-0-30,30,33
70-4.0-3-0.42-0-0-120,39,41
70-1.0-3-0.27-0-0-11,14,15
70-3.4-3-0.0-0-0-20,41,44
70-1.6-3-0.12-0-0-70,25,27
70-2.5-3-0.03-0-0-10,36,39
70-2.2-3-0.14-0-0-70,32,34
70-2.2-3-0.05-0-0-100,33,36
70-1.3-3-0.43-0-0-12,17,18
70-1.6-3-0.35-0-0-97,21,23
70-1.0-3-0.07-0-0-1,16,17
70-1.0-3-0.0-0-0-54,17,18
70-1.6-3-0.32-0-0-10,22,22
70-1.6-3-0.1-0-0-71,27,28
70-1.6-3-0.0-0-0-61,29,30
70-1.0-3-0.3-0-0-73,12,12
70-1.3-3-0.03-0-0-52,23,24
70-2.5-3-0.21-0-0-30,33,36
70-2.2-3-0.4-0-0-11,27,28
70-3.1-3-0.25-0-0-30,36,39
70-1.3-3-0.3-0-0-51,18,20
70-1.0-3-0.36-0-0-22,14,15
70-1.3-3-0.22-0-0-62,20,21
70-1.0-3-0.06-0-0-81,16,17
70-3.1-3-0.43-0-0-61,35,38
70-4.3-3-0.31-0-0-220,43,44
70-1.3-3-0.16-0-0-100,21,22
70-1.0-3-0.37-0-0-11,13,13
70-2.2-3-0.13-0-0-51,30,33
70-4.3-3-0.1-0-0-20,46,48
70-2.2-3-0.23-0-0-71,28,30
70-2.5-3-0.11-0-0-11,35,37
70-1.0-3-0.25-0-0-91,13,13
70-1.3-3-0.15-0-0-20,20,21
70-3.1-3-0.1-0-0-12,40,41
70-3.1-3-0.22-0-0-81,38,40
70-1.0-3-0.42-0-0-4,12,13
70-2.2-3-0.02-0-0-2,34,35
70-1.6-3-0.23-0-0-10,22,24
70-2.5-3-0.42-0-0-40,31,32
70-1.0-3-0.0-0-0-84,17,17
70-4.0-3-0.41-0-0-101,41,44
70-4.3-3-0.17-0-0-177,43,45
70-2.5-3-0.32-0-0-70,32,34
70-4.0-3-0.0-0-0-61,43,45
70-4.0-3-0.03-0-0-50,45,49
70-1.3-3-0.43-0-0-11,16,17
70-1.0-3-0.06-0-0-22,17,18
70-1.3-3-0.0-0-0-40,21,23
70-4.0-3-0.2-0-0-51,43,46
70-3.1-3-0.03-0-0-50,40,41
70-2.2-3-0.33-0-0-31,29,31
70-2.5-3-0.01-0-0-40,37,39
70-2.2-3-0.11-0-0-52,33,33
70-1.0-3-0.31-0-0-93,12,12
70-1.0-3-0.33-0-0-23,13,13
70-1.0-3-0.46-0-0-90,11,11
70-3.1-3-0.05-0-0-30,42,44
70-2.5-3-0.0-0-0-51,39,42
70-3.1-3-0.1-0-0-52,39,40
70-4.3-3-0.31-0-0-120,42,43
70-4.0-3-0.21-0-0-31,43,45
70-2.2-3-0.14-0-0-40,32,34
70-3.1-3-0.41-0-0-31,34,36
70-1.0-3-0.02-0-0-34,16,17
70-2.5-3-0.11-0-0-30,35,36
70-1.0-3-0.44-0-0-43,11,12
70-3.4-3-0.1-0-0-20,42,43
70-1.3-3-0.3-0-0-62,19,21
70-1.6-3-0.22-0-0-11,23,26
70-4.3-3-0.11-0-0-110,46,48
70-2.2-3-0.22-0-0-52,32,34
70-2.2-3-0.42-0-0-21,27,28
70-2.5-3-0.22-0-0-100,33,35
70-2.2-3-0.05-0-0-50,36,38
70-2.2-3-0.31-0-0-12,30,34
70-1.0-3-0.07-0-0-31,17,19
70-1.0-3-0.12-0-0-73,16,17
70-1.0-3-0.47-0-0-41,12,12
70-1.3-3-0.25-0-0-60,17,18
70-1.6-3-0.21-0-0-41,22,23
70-1.0-3-0.15-0-0-32,13,15
70-1.0-3-0.02-0-0-63,17,19
70-2.5-3-0.31-0-0-100,33,34
70-1.3-3-0.11-0-0-63,20,22
70-3.4-3-0.0-0-0-50,41,44
70-1.0-3-0.28-0-0-50,12,12
70-4.0-3-0.31-0-0-51,40,41
70-1.6-3-0.24-0-0-30,24,24
70-1.0-3-0.45-0-0-32,13,13
70-3.1-3-0.24-0-0-70,37,40
70-1.0-3-0.16-0-0-81,15,16
70-1.3-3-0.15-0-0-50,19,20
70-1.0-3-0.46-0-0-12,9,9
70-1.6-3-0.22-0-0-21,23,25
70-2.5-3-0.43-0-0-30,30,33
70-1.6-3-0.33-0-0-40,22,23
70-1.0-3-0.2-0-0-83,15,16
70-2.2-3-0.04-0-0-89,34,36
70-2.2-3-0.21-0-0-12,30,34
70-1.6-3-0.13-0-0-100,26,27
70-1.3-3-0.14-0-0-51,22,22
70-3.1-3-0.43-0-0-80,34,35
70-1.0-3-0.34-0-0-43,11,11
70-2.2-3-0.01-0-0-32,33,36
70-3.1-3-0.42-0-0-21,35,38
70-2.5-3-0.31-0-0-80,31,33
70-4.0-3-0.31-0-0-71,41,43
70-3.1-3-0.34-0-0-70,34,36
70-3.1-3-0.45-0-0-50,33,35
70-1.0-3-0.48-0-0-40,12,12
70-1.6-3-0.43-0-0-100,21,21
70-1.0-3-0.5-0-0-52,11,11
70-1.0-3-0.03-0-0-82,17,17
70-1.6-3-0.03-0-0-40,25,25
70-1.0-3-0.01-0-0-80,19,21
70-1.0-3-0.41-0-0-34,13,14
70-1.3-3-0.43-0-0-71,15,16
70-3.1-3-0.44-0-0-30,32,34
70-2.2-3-0.31-0-0-81,29,33
70-2.2-3-0.23-0-0-11,29,29
70-2.2-3-0.1-0-0-82,32,34
70-2.2-3-0.1-0-0-72,32,36
70-4.0-3-0.34-0-0-50,41,43
70-3.1-3-0.13-0-0-80,39,43
70-2.2-3-0.03-0-0-41,35,35
70-1.3-3-0.02-0-0-62,20,22
70-1.0-3-0.37-0-0-60,12,13
70-1.0-3-0.44-0-0-42,11,12
70-1.3-3-0.01-0-0-63,23,24
70-2.5-3-0.12-0-0-70,35,36
70-1.0-3-0.34-0-0-2,9,10
70-3.4-3-0.1-0-0-10,41,42
70-3.1-3-0.1-0-0-22,39,40
70-3.1-3-0.15-0-0-20,38,40
70-1.6-3-0.42-0-0-100,21,23
70-3.4-3-0.11-0-0-60,41,42
70-1.0-3-0.4-0-0-43,12,12
70-1.3-3-0.23-0-0-42,18,20
70-3.1-3-0.43-0-0-70,32,34
70-1.3-3-0.05-0-0-80,23,25
70-4.0-3-0.43-0-0-10,39,41
70-2.2-3-0.15-0-0-100,33,34
70-1.0-3-0.4-0-0-72,13,14
70-2.2-3-0.05-0-0-70,33,35
70-1.6-3-0.43-0-0-50,18,19
70-1.0-3-0.08-0-0-20,15,16
70-4.0-3-0.24-0-0-50,41,43
70-1.0-3-0.18-0-0-50,15,17
70-1.0-3-0.15-0-0-81,16,16
70-1.0-3-0.13-0-0-80,16,18
70-4.0-3-0.44-0-0-50,38,41
70-2.2-3-0.12-0-0-62,33,35
70-1.0-3-0.14-0-0-23,15,16
70-1.6-3-0.21-0-0-90,26,27
70-4.0-3-0.1-0-0-11,44,47
70-1.3-3-0.42-0-0-72,17,17
70-3.1-3-0.14-0-0-50,35,38
70-3.4-3-0.42-0-0-100,36,37
70-3.4-3-0.31-0-0-100,37,40
70-1.0-3-0.44-0-0-3,10,10
70-2.2-3-0.0-0-0-42,34,35
70-1.6-3-0.02-0-0-70,29,32
70-1.3-3-0.01-0-0-52,22,22
70-1.0-3-0.24-0-0-2,15,16
70-2.2-3-0.4-0-0-31,26,27
70-2.2-3-0.01-0-0-42,34,37
70-4.3-3-0.1-0-0-30,45,47
70-3.4-3-0.12-0-0-50,42,44
70-1.3-3-0.21-0-0-82,19,20
70-1.0-3-0.14-0-0-53,15,16
70-1.6-3-0.14-0-0-20,24,25
70-1.0-3-0.0-0-0-5,18,19
70-1.0-3-0.05-0-0-72,17,19
70-2.2-3-0.01-0-0-2,33,36
70-3.1-3-0.11-0-0-81,38,40
70-1.0-3-0.04-0-0-52,18,19
70-4.0-3-0.31-0-0-101,40,42
70-3.1-3-0.5-0-0-40,32,34
70-1.3-3-0.43-0-0-21,12,14
70-2.2-3-0.25-0-0-100,30,30
70-1.3-3-0.4-0-0-1,17,18
70-1.3-3-0.33-0-0-71,20,21
70-1.0-3-0.36-0-0-51,13,13
70-4.0-3-0.24-0-0-120,43,46
70-2.5-3-0.13-0-0-30,35,37
70-2.2-3-0.42-0-0-12,26,28
70-2.2-3-0.2-0-0-52,29,32
70-1.0-3-0.48-0-0-30,9,9
70-3.1-3-0.14-0-0-20,38,40
70-4.0-3-0.33-0-0-60,40,40
70-3.1-3-0.05-0-0-20,40,41
70-1.0-3-0.13-0-0-53,15,16
70-2.2-3-0.25-0-0-10,30,32
70-1.3-3-0.24-0-0-51,19,21
70-2.2-3-0.22-0-0-90,32,32
70-2.5-3-0.21-0-0-100,32,34
70-1.0-3-0.31-0-0-14,14,14
70-3.1-3-0.22-0-0-21,39,40
70-1.3-3-0.43-0-0-22,16,17
70-3.1-3-0.34-0-0-50,36,38
70-2.2-3-0.44-0-0-10,26,28
70-3.4-3-0.0-0-0-30,42,46
70-1.3-3-0.45-0-0-70,14,15
70-1.0-3-0.01-0-0-64,17,18
70-2.2-3-0.12-0-0-12,33,35
70-1.6-3-0.22-0-0-50,25,27
70-1.0-3-0.35-0-0-91,14,16
70-1.3-3-0.12-0-0-91,21,24
70-1.3-3-0.13-0-0-81,20,20
70-2.2-3-0.12-0-0-32,30,31
70-4.0-3-0.04-0-0-10,45,48
70-3.4-3-0.01-0-0-60,43,44
70-1.0-3-0.44-0-0-54,11,12
70-1.6-3-0.13-0-0-10,25,28
70-1.0-3-0.05-0-0-22,17,19
70-1.0-3-0.14-0-0-20,16,17
70-1.0-3-0.02-0-0-1,17,18
70-1.0-3-0.04-0-0-13,15,17
70-2.5-3-0.21-0-0-40,32,33
70-1.0-3-0.47-0-0-21,8,8
70-4.0-3-0.22-0-0-41,43,45
70-2.2-3-0.35-0-0-20,29,30
70-2.2-3-0.03-0-0-80,33,35
70-4.0-3-0.33-0-0-20,42,45
70-1.0-3-0.24-0-0-63,14,15
70-3.1-3-0.01-0-0-12,40,43
70-4.0-3-0.03-0-0-100,46,48
70-1.3-3-0.23-0-0-62,18,20
70-3.1-3-0.21-0-0-61,36,40
70-4.0-3-0.21-0-0-21,42,45
70-1.0-3-0.24-0-0-33,14,15
70-3.1-3-0.14-0-0-40,40,42
70-1.0-3-0.3-0-0-50,13,13
70-3.1-3-0.22-0-0-80,36,38
70-3.1-3-0.42-0-0-1,35,38
70-3.1-3-0.33-0-0-10,36,38
70-2.2-3-0.02-0-0-71,32,34
70-2.5-3-0.1-0-0-40,35,37
70-3.1-3-0.03-0-0-40,41,43
70-1.3-3-0.21-0-0-32,19,20
70-1.0-3-0.16-0-0-11,13,14
70-1.3-3-0.21-0-0-42,19,21
70-3.1-3-0.45-0-0-40,35,37
70-4.0-3-0.12-0-0-60,44,45
70-1.3-3-0.13-0-0-51,21,22
70-2.5-3-0.01-0-0-41,35,37
70-1.0-3-0.48-0-0-70,9,9
70-1.6-3-0.4-0-0-40,17,18
70-1.3-3-0.31-0-0-62,17,18
70-1.0-3-0.01-0-0-14,18,19
70-3.1-3-0.14-0-0-60,38,42
70-3.1-3-0.45-0-0-20,33,34
70-1.0-3-0.02-0-0-11,17,18
70-2.2-3-0.36-0-0-20,27,28
70-1.3-3-0.3-0-0-81,19,20
70-2.5-3-0.21-0-0-10,33,35
70-1.0-3-0.0-0-0-44,16,16
70-4.3-3-0.0-0-0-60,47,49
70-3.1-3-0.22-0-0-90,37,39
70-1.0-3-0.11-0-0-84,16,16
70-2.2-3-0.15-0-0-50,33,35
70-1.0-3-0.12-0-0-34,15,16
70-2.5-3-0.42-0-0-70,27,31
70-1.3-3-0.04-0-0-90,22,24
70-1.0-3-0.02-0-0-60,17,17
70-1.0-3-0.34-0-0-12,12,13
70-3.4-3-0.2-0-0-10,40,42
70-3.1-3-0.21-0-0-2,38,41
70-2.2-3-0.18-0-0-8,31,32
70-2.5-3-0.3-0-0-30,31,33
70-2.2-3-0.11-0-0-2,32,35
70-1.0-3-0.34-0-0-20,13,13
70-1.6-3-0.02-0-0-50,25,28
70-3.1-3-0.2-0-0-80,39,41
70-1.0-3-0.23-0-0-53,14,15
70-3.4-3-0.22-0-0-20,39,41
70-1.0-3-0.1-0-0-83,17,18
70-1.0-3-0.4-0-0-82,12,12
70-1.0-3-0.12-0-0-61,17,17
70-1.6-3-0.23-0-0-50,25,28
70-3.1-3-0.2-0-0-31,37,39
70-1.3-3-0.04-0-0-71,20,22
70-2.5-3-0.21-0-0-21,33,37
70-2.2-3-0.45-0-0-40,25,26
70-1.3-3-0.16-0-0-20,20,22
70-4.0-3-0.13-0-0-70,43,44
70-4.0-3-0.04-0-0-100,45,46
70-2.2-3-0.14-0-0-1,30,32
70-4.3-3-0.01-0-0-10,48,48
70-2.2-3-0.22-0-0-81,30,32
70-1.3-3-0.14-0-0-31,20,21
70-2.5-3-0.03-0-0-30,36,38
70-1.0-3-0.47-0-0-11,12,13
70-2.2-3-0.0-0-0-33,33,34
70-2.5-3-0.0-0-0-71,37,38
70-4.3-3-0.41-0-0-110,41,43
70-3.1-3-0.21-0-0-81,37,40
70-1.3-3-0.44-0-0-61,14,15
70-2.2-3-0.5-0-0-70,25,26
70-4.3-3-0.0-0-0-140,46,48
70-3.1-3-0.41-0-0-32,35,39
70-4.0-3-0.43-0-0-70,40,40
70-2.5-3-0.03-0-0-20,37,39
70-1.0-3-0.27-0-0-60,14,15
70-1.3-3-0.13-0-0-2,20,23
70-2.2-3-0.32-0-0-22,30,33
70-1.3-3-0.35-0-0-10,18,20
70-3.4-3-0.21-0-0-10,39,41
70-3.1-3-0.5-0-0-100,32,35
70-3.1-3-0.31-0-0-61,37,39
70-2.2-3-0.13-0-0-81,32,34
70-4.3-3-0.01-0-0-50,46,47
70-1.0-3-0.0-0-0-45,16,16
70-4.0-3-0.23-0-0-120,44,46
70-1.0-3-0.4-0-0-42,13,14
70-1.6-3-0.02-0-0-30,26,28
70-1.6-3-0.42-0-0-60,18,20
70-4.3-3-0.21-0-0-60,43,46
70-1.0-3-0.46-0-0-1,11,11
70-1.3-3-0.03-0-0-90,24,25
70-1.3-3-0.15-0-0-80,20,21
70-1.3-3-0.15-0-0-31,20,21
70-4.0-3-0.34-0-0-110,39,41
70-1.0-3-0.12-0-0-44,14,14
70-1.0-3-0.07-0-0-70,17,19
70-3.1-3-0.1-0-0-42,39,40
70-4.0-3-0.23-0-0-110,42,44
70-1.3-3-0.06-0-0-100,23,24
70-1.0-3-0.34-0-0-42,11,12
70-2.5-3-0.01-0-0-51,37,40
70-2.2-3-0.46-0-0-10,24,26
70-1.6-3-0.42-0-0-50,20,22
70-1.0-3-0.15-0-0-62,16,16
70-2.2-3-0.41-0-0-81,27,28
70-2.2-3-0.44-0-0-11,24,26
70-1.3-3-0.43-0-0-2,15,16
70-1.3-3-0.21-0-0-13,18,20
70-1.3-3-0.5-0-0-60,13,14
70-2.2-3-0.25-0-0-20,30,30
70-4.0-3-0.3-0-0-30,41,44
70-1.0-3-0.12-0-0-80,15,15
70-2.2-3-0.14-0-0-11,33,35
70-1.3-3-0.25-0-0-21,21,22
70-4.0-3-0.42-0-0-100,39,41
70-1.0-3-0.35-0-0-81,11,12
70-3.1-3-0.1-0-0-71,38,40
70-2.2-3-0.4-0-0-61,27,29
70-3.1-3-0.13-0-0-60,40,43
70-2.2-3-0.46-0-0-100,26,28
70-1.3-3-0.03-0-0-22,22,25
70-1.0-3-0.24-0-0-23,16,16
70-1.3-3-0.31-0-0-52,17,19
70-1.6-3-0.32-0-0-41,24,25
70-1.6-3-0.22-0-0-100,24,26
70-1.0-3-0.22-0-0-83,14,15
70-3.1-3-0.42-0-0-41,35,36
70-1.3-3-0.2-0-0-42,20,21
70-1.0-3-0.44-0-0-53,13,13
70-4.0-3-0.43-0-0-120,36,36
70-3.1-3-0.35-0-0-40,34,36
70-3.1-3-0.02-0-0-80,42,43
70-2.2-3-0.02-0-0-41,35,35
70-3.1-3-0.13-0-0-11,40,41
70-4.0-3-0.22-0-0-50,43,47
70-1.6-3-0.1-0-0-31,26,27
70-1.0-3-0.36-0-0-1,12,13
70-3.1-3-0.13-0-0-31,40,41
70-3.1-3-0.31-0-0-41,37,38
70-1.0-3-0.31-0-0-83,13,13
70-3.1-3-0.0-0-0-2,42,44
70-1.0-3-0.5-0-0-32,9,10
70-2.2-3-0.14-0-0-51,33,35
70-1.0-3-0.21-0-0-74,16,17
70-1.0-3-0.06-0-0-71,17,17
70-1.0-3-0.34-0-0-22,15,17
70-2.2-3-0.02-0-0-22,34,35
70-3.1-3-0.32-0-0-90,35,38
70-1.3-3-0.21-0-0-52,19,21
70-1.0-3-0.02-0-0-43,16,17
70-1.0-3-0.44-0-0-72,11,11
70-1.0-3-0.06-0-0-42,15,17
70-4.0-3-0.13-0-0-100,44,46
70-3.1-3-0.03-0-0-70,42,45
70-2.2-3-0.15-0-0-30,33,35
70-2.2-3-0.42-0-0-2,27,29
70-1.0-3-0.44-0-0-22,12,13
70-2.5-3-0.1-0-0-50,35,37
70-2.2-3-0.04-0-0-11,33,36
70-3.1-3-0.11-0-0-90,38,40
70-1.3-3-0.35-0-0-30,17,18
70-1.0-3-0.03-0-0-40,17,18
70-2.5-3-0.32-0-0-100,30,32
70-1.3-3-0.02-0-0-72,20,21
70-1.3-3-0.45-0-0-31,16,18
70-1.0-3-0.3-0-0-30,13,13
70-1.3-3-0.33-0-0-62,18,19
70-1.6-3-0.12-0-0-41,24,26
70-1.0-3-0.04-0-0-22,17,19
70-2.2-3-0.34-0-0-40,29,30
70-1.3-3-0.2-0-0-91,18,18
70-4.0-3-0.11-0-0-101,43,46
70-2.2-3-0.41-0-0-42,28,30
70-1.3-3-0.34-0-0-61,17,19
70-1.0-3-0.26-0-0-13,14,14
70-1.6-3-0.0-0-0-2,28,30
70-3.1-3-0.0-0-0-52,40,42
70-4.0-3-0.02-0-0-111,45,47
70-1.6-3-0.33-0-0-30,22,24
70-1.0-3-0.43-0-0-63,12,13
70-1.0-3-0.23-0-0-43,14,15
70-3.1-3-0.23-0-0-30,37,39
70-1.3-3-0.26-0-0-50,19,20
70-2.2-3-0.21-0-0-2,30,31
70-4.0-3-0.32-0-0-100,40,43
70-1.3-3-0.25-0-0-10,18,22
70-2.2-3-0.02-0-0-81,32,35
70-1.0-3-0.32-0-0-33,14,15
70-1.6-3-0.31-0-0-21,21,21
70-1.6-3-0.41-0-0-61,21,22
70-2.5-3-0.1-0-0-41,36,37
70-1.6-3-0.12-0-0-50,26,29
70-1.0-3-0.03-0-0-43,16,17
70-1.0-3-0.45-0-0-2,9,10
70-1.0-3-0.11-0-0-93,14,15
70-1.3-3-0.25-0-0-40,18,20
70-1.0-3-0.01-0-0-54,17,18
70-1.0-3-0.16-0-0-12,15,15
70-3.1-3-0.31-0-0-42,36,38
70-4.0-3-0.23-0-0-100,42,44
70-2.2-3-0.44-0-0-1,26,29
70-1.3-3-0.23-0-0-12,19,20
70-3.1-3-0.32-0-0-81,37,37
70-3.1-3-0.43-0-0-30,33,34
70-1.0-3-0.4-0-0-32,13,14
70-1.6-3-0.41-0-0-41,20,21
70-1.3-3-0.2-0-0-81,20,22
70-1.0-3-0.37-0-0-61,12,12
70-3.1-3-0.33-0-0-50,37,40
70-2.5-3-0.01-0-0-1,36,40
70-1.6-3-0.42-0-0-1,20,23
70-1.9-3-0.44-0-0-46,24,25
70-3.1-3-0.34-0-0-40,36,39
70-2.5-3-0.01-0-0-50,37,39
70-3.1-3-0.33-0-0-20,35,36
70-1.0-3-0.35-0-0-12,13,14
70-2.5-3-0.02-0-0-40,36,37
70-4.0-3-0.34-0-0-40,42,43
70-3.1-3-0.32-0-0-71,36,39
70-2.5-3-0.21-0-0-50,32,34
70-2.2-3-0.3-0-0-11,27,30
70-1.3-3-0.44-0-0-1,17,19
70-4.0-3-0.01-0-0-1,46,47
70-3.1-3-0.22-0-0-41,38,39
70-1.3-3-0.11-0-0-72,20,21
70-1.0-3-0.08-0-0-50,17,17
70-3.1-3-0.2-0-0-11,40,40
70-1.0-3-0.5-0-0-91,12,13
70-4.3-3-0.31-0-0-240,44,46
70-1.0-3-0.24-0-0-42,14,15
70-2.2-3-0.34-0-0-31,27,30
70-1.3-3-0.06-0-0-40,21,23
70-2.2-3-0.11-0-0-12,34,36
70-3.1-3-0.43-0-0-50,32,33
70-1.3-3-0.33-0-0-12,17,17
70-1.3-3-0.26-0-0-60,19,20
70-2.2-3-0.31-0-0-2,30,32
70-1.0-3-0.2-0-0-24,15,16
70-4.0-3-0.02-0-0-60,45,46
70-1.0-3-0.26-0-0-22,15,16
70-2.5-3-0.33-0-0-20,31,33
70-1.0-3-0.17-0-0-61,16,18
70-4.0-3-0.43-0-0-110,40,42
70-4.0-3-0.32-0-0-61,41,42
70-4.0-3-0.33-0-0-110,40,43
70-3.4-3-0.01-0-0-70,42,43
70-4.0-3-0.42-0-0-121,38,42
70-1.6-3-0.12-0-0-31,23,26
