,Model Parameters,Support Loss,Challenge Loss
d4 Exp. Model,[0.0027512375321519355, 1.1174422311633836],149.73294898877862,762.9687412613708
d4 Poly. Model,[1.2398020063827454e-07, 3.908459195895375],149.7333012767611,770.0227936268286
