,10,11,12,13,14,15,16,17,18
# of instances,213.0,368.0,499.0,579.0,651.0,667.0,644.0,620.0,416.0
mean,0.03568075117370885,0.03975543478260865,0.04889779559118238,0.055613126079446934,0.0789554531490016,0.13176911544227868,0.24236024844720466,0.4395161290322583,0.7837019230769232
Q(0.1),[0.03009468702629186, 0.03009468702629186],[0.030244449772836527, 0.030244449772836527],[0.0399886122139175, 0.0399886122139175],[0.04054965293153643, 0.04054965293153643],[0.06001896560046587, 0.06001896560046587],[0.08993748617384066, 0.08993748617384066],[0.14041977152410745, 0.14041977152410745],[0.2597776441903637, 0.2597776441903637],[0.4501869425300825, 0.4501869425300825]
Q(0.25),[0.03011362336777747, 0.03011362336777747],[0.030293391107950308, 0.030293391107950308],[0.04004055842343003, 0.04004055842343003],[0.049997547931053814, 0.049997547931053814],[0.06033289229953967, 0.06033289229953967],[0.10007683586921015, 0.10007683586921015],[0.17032430923955294, 0.17032430923955294],[0.33004460087920773, 0.33004460087920773],[0.550200948062446, 0.550200948062446]
median,[0.030170438417239553, 0.030170438417239553],[0.0399460266409547, 0.0399460266409547],[0.040120168968944075, 0.040120168968944075],[0.050168577643216715, 0.050168577643216715],[0.07896189864321955, 0.07896189864321955],[0.12014657862165187, 0.12014657862165187],[0.2201234747191907, 0.2201234747191907],[0.420003424469619, 0.420003424469619],[0.7199303817660295, 0.7199303817660295]
Q(0.75),[0.03989105482076546, 0.03989105482076546],[0.04004844267906857, 0.04004844267906857],[0.04986942938726973, 0.04986942938726973],[0.05999536476496346, 0.05999536476496346],[0.08983781864094934, 0.08983781864094934],[0.15968637182326828, 0.15968637182326828],[0.2801094998573779, 0.2801094998573779],[0.520032922682897, 0.520032922682897],[0.9399730701054573, 0.9399730701054573]
Q(0.9),[0.04002225139793629, 0.04002225139793629],[0.04958117734499798, 0.04958117734499798],[0.059105281583160925, 0.059105281583160925],[0.06968782718028801, 0.06968782718028801],[0.10939781363903969, 0.10939781363903969],[0.18020279977166104, 0.18020279977166104],[0.35970322365281204, 0.35970322365281204],[0.6497222170500153, 0.6497222170500153],[1.2493204402654328, 1.2493204402654328]
