,Model Parameters,Support Loss,Challenge Loss
dpmc Exp. Model,[0.01170653828906459, 1.1181681770886758],7.628620583495383,594.9737823441138
dpmc Poly. Model,[0.0016199497144297748, 1.3371579248173475],7.6607318433733695,603.6770667996989
