,18,19,20,21,22,23,24,25,26,27,28,29
# of instances,107.0,199.0,274.0,396.0,432.0,464.0,511.0,566.0,576.0,581.0,479.0,284.0
mean,0.6090654205607474,0.615025125628141,0.7755109489051086,1.0303535353535362,1.3114120370370381,1.6804525862068955,2.4709393346379667,3.6848586572438147,5.500590277777781,8.39156626506024,12.164279749478078,17.529014084507036
Q(0.1),[0.440648558557914, 0.440648558557914],[0.4898802941803619, 0.4898802941803619],[0.5502049291344526, 0.5502049291344526],[0.6504973958834287, 0.6504973958834287],[0.8004670450378076, 0.8004670450378076],[0.9807183201300849, 0.9807183201300849],[1.3099655328339945, 1.3099655328339945],[1.8103344899275113, 1.8103344899275113],[2.660607617673835, 2.660607617673835],[4.070030449030966, 4.070030449030966],[5.8997898605716825, 5.8997898605716825],[8.080667868483383, 8.080667868483383]
Q(0.25),[0.48018374998296853, 0.48018374998296853],[0.5300228696378719, 0.5300228696378719],[0.6100582487344269, 0.6100582487344269],[0.769808849694447, 0.769808849694447],[0.9398864339865871, 0.9398864339865871],[1.1898749656556162, 1.1898749656556162],[1.639974881984714, 1.639974881984714],[2.3406961602693492, 2.3406961602693492],[3.3401433072163402, 3.3401433072163402],[5.290007121056601, 5.290007121056601],[8.019545161871301, 8.019545161871301],[10.709872434728238, 10.709872434728238]
median,[0.5401013385877536, 0.5401013385877536],[0.5899882387786197, 0.5899882387786197],[0.7398834903799949, 0.7398834903799949],[0.9097340305915848, 0.9097340305915848],[1.1799417838313606, 1.1799417838313606],[1.540012388606971, 1.540012388606971],[2.19971660159863, 2.19971660159863],[3.1699216484309494, 3.1699216484309494],[4.530070087431276, 4.530070087431276],[7.250008523234263, 7.250008523234263],[10.89990158129145, 10.89990158129145],[15.909242613464064, 15.909242613464064]
Q(0.75),[0.6097710608969888, 0.6097710608969888],[0.6600252935895229, 0.6600252935895229],[0.840187338758024, 0.840187338758024],[1.0900212976607726, 1.0900212976607726],[1.5200231434657585, 1.5200231434657585],[1.9699545840487787, 1.9699545840487787],[2.900221384511703, 2.900221384511703],[4.379839656041896, 4.379839656041896],[6.610120196333873, 6.610120196333873],[10.309996474589653, 10.309996474589653],[14.740308884450497, 14.740308884450497],[21.580132650902765, 21.580132650902765]
Q(0.9),[0.6702457855999143, 0.6702457855999143],[0.7701720188412791, 0.7701720188412791],[1.0392168358793574, 1.0392168358793574],[1.3088707545080989, 1.3088707545080989],[2.0098427184180983, 2.0098427184180983],[2.5393296937060286, 2.5393296937060286],[3.999980804044904, 3.999980804044904],[6.139377485148395, 6.139377485148395],[9.559439145035464, 9.559439145035464],[14.449495911754711, 14.449495911754711],[19.950392236408558, 19.950392236408558],[26.879666396209114, 26.879666396209114]
