,Model Parameters,Support Loss,Challenge Loss
minic2d Exp. Model,[0.008135112192160324, 1.2542498100683825],298.1141740621125,8328.242775710769
minic2d Poly. Model,[7.333230622916248e-07, 4.62365670985781],300.125580033733,9323.646126291367
