,773025,865011,956997,1048983,1140969,1232955,1324941,1416927,1508913,1600899,1692885,1784871,1876857,1968843,2060829,2152815,2244801,2336787,2428773,2520759
Exp. model confidence intervals,[195.94448382060114,284.4859891196545],[307.3932148682387,476.89528015997786],[475.7639416216756,799.4386962347286],[736.3575941141594,1340.1311684676168],[1139.6881078490076,2246.5156579949426],[1763.9377845148983,3765.9243515597714],[2730.112287923912,6312.970119393138],[4225.496596368295,10582.685154534247],[6539.958654776645,17740.179814246516],[10122.13789095193,29738.57534700987],[15666.41027747353,49851.967281614954],[24247.487401008555,83568.85334445213],[37528.740461205634,140089.82253107807],[58084.63109237253,234838.19140007137],[89899.74956992266,393668.6844458105],[139141.19485207688,659922.6139043074],[215354.01597315347,1106254.7607904554],[333311.44126705045,1854459.2502008218],[515878.5471331446,3108704.461708351],[798444.4649740636,5211246.043394525]
Poly. model confidence intervals,[137.51661649398432,211.08156920222447],[169.00617873152603,285.7712497084968],[203.99998323310135,375.2775877965155],[242.04373586038514,475.9861821817604],[283.0812994731839,586.8505655134172],[327.07840301656637,711.8791938625762],[374.00378831286656,851.6219288583559],[423.82874735884513,1006.6080891255052],[474.12845459086145,1177.3485728101407],[526.4030075534598,1364.3376384355265],[581.0350235662546,1568.054416447365],[638.0144144090924,1788.9642052198012],[699.6081646885073,2027.519592229401],[763.7721140835803,2284.161431722789],[830.4859118632484,2559.3197033369665],[899.7302877742377,2853.414271019505],[971.486950074576,3166.8555577321617],[1045.7384970506866,3500.0451484609916],[1122.468339765103,3853.3763317593452],[1201.6606342308055,4227.234588248148]
observed point estimates,159.94668707187384,253.00752891397838,354.8074887580924,435.3320600529365,508.9821552533032,566.782460597319,657.2556962447406,766.8440341881396,890.4925123528012,990.0855742512572,1102.5231519748659,1243.334942396274,1521.8677428159917,1813.7545812427225,2165.646495307046,2533.589198849397,2785.1953373149463,3005.0485169424082,3220.8834989056236,3420.401866836724
observed confidence intervals,[123.91132195101977, 222.48337174821063],[229.75111189100915, 287.20644782555655],[306.19766816049355, 382.579441850354],[378.3534690669692, 466.03721276873944],[442.73101580233526, 547.0114114699886],[509.69543554543293, 647.5606532154845],[591.0371871957409, 755.7098416587901],[711.8194115969823, 862.4101315925868],[815.0385740698373, 998.6889426580781],[895.5912718896179, 1092.5595588529645],[1008.2991487883892, 1235.5592786842506],[1105.7210572458848, 1382.1815028277788],[1314.7844619030675, 1604.170987332097],[1645.6492995497501, 1926.6984476360285],[2012.5504529482614, 2334.9338414520184],[2349.967182197259, 2638.483641842378],[2627.0632526969125, 2841.76826872191],[2872.9623995391426, 3121.082044794848],[3032.572362801335, 3370.884426398632],[3201.443217923338, 3574.3124609841107]
