,Percent Strongly Consistent,Percent Weakly Consistent,Percent above intervals,Percent below intervals,Percent Strongly Consistent (larger half),Percent Weakly Consistent (larger half),Percent above intervals (larger half),Percent below intervals (larger half)
Exp,0.0,0.05,0.0,0.95,0.0,0.0,0.0,1.0
Poly,0.85,1.0,0.0,0.0,1.0,1.0,0.0,0.0
