,Model Parameters,Support Loss,Challenge Loss
Lingeling Exp. Model,[4.120940750627154, 1.0000052521877367],1047.4581715103716,49352794.38152635
Lingeling Poly. Model,[8.185079218302017e-11, 2.089113746878411],1099.5984007420145,98957.54184089431
