,Model Parameters,Support Loss,Challenge Loss
d4 Exp. Model,[0.07998796988513307, 1.0000053759305891],13.34738716206339,12.278294330840037
d4 Poly. Model,[0.07993917955271562, 0.00022369752514350694],13.34738725565638,12.278248000273022
