,Model Parameters,Support Loss,Challenge Loss
cachet Exp. Model,[0.019985842713635276, 1.0000194460302188],7.650465260063153,32.35942950276754
cachet Poly. Model,[0.019945558654238124, 0.0007578947715956019],7.65046679972492,32.359468847882226
