,Model Parameters,Support Loss,Challenge Loss
minic2d Exp. Model,[0.25507164739902705, 1.0117249384311529],19.04311791226011,198.80542445030468
minic2d Poly. Model,[0.28212907956539096, 0.011430893613862736],19.067503582583008,224.21235889136554
