,Model Parameters,Support Loss,Challenge Loss
d4 Exp. Model,[0.07954744107805435, 1.000153109731821],11.171258210987975,45.593400655374616
d4 Poly. Model,[0.07833596165925004, 0.005819378679007059],11.17124872728964,45.595978313417774
