,14,15,16,17,18,19,20,21,22,23,24,25
# of instances,122.0,201.0,365.0,441.0,508.0,557.0,520.0,588.0,621.0,545.0,347.0,162.0
mean,0.7129508196721309,0.9040298507462683,1.2138082191780815,1.6876417233560097,2.3962007874015723,3.6469658886894134,5.639076923076918,8.941853741496608,13.87566827697263,20.07478899082568,31.479971181556202,41.24586419753084
Q(0.1),[0.5502262141250445, 0.5502262141250445],[0.6499807663723681, 0.6499807663723681],[0.7997823369034384, 0.7997823369034384],[0.9706753775406605, 0.9706753775406605],[1.3703603209573716, 1.3703603209573716],[1.9005261924868382, 1.9005261924868382],[2.719974661245495, 2.719974661245495],[4.259612530819835, 4.259612530819835],[6.840002835103986, 6.840002835103986],[10.33046393259105, 10.33046393259105],[16.170671980987862, 16.170671980987862],[21.870111182184818, 21.870111182184818]
Q(0.25),[0.6001341470163521, 0.6001341470163521],[0.7200975208058934, 0.7200975208058934],[0.9201510389150868, 0.9201510389150868],[1.2200923046526106, 1.2200923046526106],[1.6899222236589397, 1.6899222236589397],[2.51022384856674, 2.51022384856674],[3.6798889285631966, 3.6798889285631966],[5.659886385160316, 5.659886385160316],[8.740021783656264, 8.740021783656264],[13.25000167879013, 13.25000167879013],[20.429738796913036, 20.429738796913036],[29.17013363654769, 29.17013363654769]
median,[0.6900004767713607, 0.6900004767713607],[0.8400004497991578, 0.8400004497991578],[1.1297381603576282, 1.1297381603576282],[1.52008967274646, 1.52008967274646],[2.210015991095239, 2.210015991095239],[3.2598585631240935, 3.2598585631240935],[4.890003087724619, 4.890003087724619],[7.8600003337754565, 7.8600003337754565],[12.110163695801692, 12.110163695801692],[18.26000134478401, 18.26000134478401],[27.81000207147162, 27.81000207147162],[37.507081427130146, 37.507081427130146]
Q(0.75),[0.7702811751298108, 0.7702811751298108],[1.020023375763695, 1.020023375763695],[1.4300648817547885, 1.4300648817547885],[1.9400389658659862, 1.9400389658659862],[2.8500686917076328, 2.8500686917076328],[4.3200406391322135, 4.3200406391322135],[6.8498643111022695, 6.8498643111022695],[11.020113570052786, 11.020113570052786],[17.339999055026603, 17.339999055026603],[24.5699957426329, 24.5699957426329],[38.80931703436999, 38.80931703436999],[49.64986666240252, 49.64986666240252]
Q(0.9),[0.8898615924004354, 0.8898615924004354],[1.2694931384737984, 1.2694931384737984],[1.7595285056944452, 1.7595285056944452],[2.5500402219575027, 2.5500402219575027],[3.650549421287196, 3.650549421287196],[5.889254621522064, 5.889254621522064],[9.180057254932168, 9.180057254932168],[14.710314157639624, 14.710314157639624],[23.249994215623683, 23.249994215623683],[32.369555150077474, 32.369555150077474],[52.83933224851763, 52.83933224851763],[66.70988855042508, 66.70988855042508]
