,Model Parameters,Support Loss,Challenge Loss
c2d Exp. Model,[0.01061116122632062, 1.3425189141322402],386.5064067687274,13322.259701387466
c2d Poly. Model,[2.122144301132204e-06, 4.7765860326857705],389.6157458358647,16003.558977702476
