,Model Parameters,Support Loss,Challenge Loss
cachet Exp. Model,[0.004189009957232332, 1.2961293632772466],545.002963188789,3553.0703532167636
cachet Poly. Model,[6.381105110541729e-08, 5.435765305412232],545.0279956791155,4269.538937095306
