,18,19,20,21,22,23,24,25,26,27,28,29
# of instances,107.0,199.0,274.0,396.0,432.0,464.0,511.0,566.0,576.0,581.0,479.0,284.0
mean,0.5684112149532712,0.6517587939698491,0.8338686131386863,1.1520959595959597,1.5604861111111104,1.9014224137931048,2.5541878669275926,3.4746996466431077,4.60126736111111,6.195559380378657,7.894133611691028,10.233697183098588
Q(0.1),[0.19967053235333282, 0.19967053235333282],[0.21042595974965228, 0.21042595974965228],[0.33012874433653533, 0.33012874433653533],[0.4404949528868353, 0.4404949528868353],[0.5999954987976768, 0.5999954987976768],[0.7911107119433377, 0.7911107119433377],[1.0500534306464455, 1.0500534306464455],[1.6103352307015428, 1.6103352307015428],[2.0702340949516844, 2.0702340949516844],[3.070298072720356, 3.070298072720356],[4.179817729640037, 4.179817729640037],[5.290334442156453, 5.290334442156453]
Q(0.25),[0.300179963909596, 0.300179963909596],[0.3301858396440391, 0.3301858396440391],[0.479800345109289, 0.479800345109289],[0.6498792598025206, 0.6498792598025206],[0.8701339043218116, 0.8701339043218116],[1.0902299278072598, 1.0902299278072598],[1.5298503607905283, 1.5298503607905283],[2.160068070110404, 2.160068070110404],[2.9198846130243106, 2.9198846130243106],[4.0500287431283, 4.0500287431283],[5.469662018585759, 5.469662018585759],[7.3897853767171995, 7.3897853767171995]
median,[0.499906201411453, 0.499906201411453],[0.5496538332926975, 0.5496538332926975],[0.7400105309567593, 0.7400105309567593],[0.990080947993652, 0.990080947993652],[1.299916193228435, 1.299916193228435],[1.6101036293892874, 1.6101036293892874],[2.279936741927167, 2.279936741927167],[3.0698298625286253, 3.0698298625286253],[3.999942758704308, 3.999942758704308],[5.570002984198835, 5.570002984198835],[7.169774683749643, 7.169774683749643],[9.169706468508812, 9.169706468508812]
Q(0.75),[0.7199991628534848, 0.7199991628534848],[0.7802369203514442, 0.7802369203514442],[1.030051833677574, 1.030051833677574],[1.4201065990454391, 1.4201065990454391],[1.9598572472306912, 1.9598572472306912],[2.310102117169668, 2.310102117169668],[3.2201690852180653, 3.2201690852180653],[4.200245215729114, 4.200245215729114],[5.81004710537499, 5.81004710537499],[7.779987488387943, 7.779987488387943],[9.620350964941982, 9.620350964941982],[12.240251050057886, 12.240251050057886]
Q(0.9),[1.0793029100978366, 1.0793029100978366],[1.100223532155951, 1.100223532155951],[1.459626521666924, 1.459626521666924],[2.0097727111281345, 2.0097727111281345],[2.799878799346383, 2.799878799346383],[3.2796365483018204, 3.2796365483018204],[4.399982541117364, 4.399982541117364],[6.079412092280976, 6.079412092280976],[7.849438100320037, 7.849438100320037],[10.359989148116831, 10.359989148116831],[12.050204952224963, 12.050204952224963],[15.979654435929374, 15.979654435929374]
