,Model Parameters,Support Loss,Challenge Loss
d4 Exp. Model,[0.0046600237686286105, 1.4770994520116782],1435.6908256505376,21814.915090703627
d4 Poly. Model,[4.692940163888407e-08, 6.40723720029996],1437.6694968679772,25701.635700385556
