,Exp parameter a,Exp parameter b,Poly parameter a,Poly parameter b
555,0.005229648863406823,1.467193031177629,6.112006776326542e-08,6.314109113229847
556,0.003161201703330368,1.514425758559732,1.571924596253815e-08,6.80638561272508
557,0.0037673294228200913,1.4965372278018438,3.140611799821148e-08,6.550174140972217
558,0.005402954863633383,1.4646776302353675,6.262647135555835e-08,6.304405043827273
559,0.0029571873674344392,1.5191207337231645,1.7051040976361813e-08,6.769444422869583
560,0.004831670771845999,1.4726086966402037,5.941571795041189e-08,6.316901949930752
561,0.0033746391023220194,1.5078705838612076,2.227854641630401e-08,6.677650095433705
562,0.0045657559150026105,1.477269505499735,5.6015440351776016e-08,6.335251257991331
563,0.00354691374456023,1.499644899711005,2.6649093801535475e-08,6.603124933488402
564,0.0066225224201275495,1.446973994250404,1.3873253326097297e-07,6.024820121808659
565,0.0038883572412940735,1.4910419487031432,3.666550880156475e-08,6.4838850501237175
566,0.003649988066184816,1.4994691635485637,2.632480689609424e-08,6.613302046053263
567,0.0036211029427566602,1.500280024285265,2.83576312344893e-08,6.588190436905961
568,0.00371128537559486,1.497638022767103,2.675566255531577e-08,6.603047677185145
569,0.004834210414783313,1.473599812097362,4.334363463759336e-08,6.43423143814789
570,0.004302815806504071,1.485818768270498,3.812387559149194e-08,6.485859469704565
571,0.004345040684108544,1.4823693678937244,3.465906626208418e-08,6.5121048603004965
572,0.004420331110044191,1.4822031982160473,4.3275079327087415e-08,6.438667128488078
573,0.004417309413094713,1.480529673290684,3.957750144154766e-08,6.462884851490571
574,0.003981558934889681,1.4895691333918912,3.598699217230248e-08,6.495901792694099
575,0.0037369298155698594,1.4975115098086034,3.222887303441938e-08,6.541359717906175
576,0.0050944516706800886,1.4691726711620823,5.60333341343528e-08,6.343966197683585
577,0.004346326746298335,1.4823529992793412,3.154811709556441e-08,6.544674951102934
578,0.004646977950700238,1.4769995008111072,4.110014348359952e-08,6.453119444956883
579,0.004428825253698707,1.482072963427149,4.106340229723706e-08,6.456195136965107
580,0.002867482032414959,1.5225068372544848,1.3367492926144866e-08,6.861275332481455
581,0.00464077639365961,1.4777415472819246,4.1335491125716875e-08,6.453842992545219
