,Model Parameters,Support Loss,Challenge Loss
c2d Exp. Model,[0.004398969047080702, 1.2418303625209914],2683.87231471065,15565.409898207889
c2d Poly. Model,[4.3816574034272253e-10, 6.653069594079625],2684.823595765979,16302.956459377972
