,Model Parameters,Support Loss,Challenge Loss
c2d Exp. Model,[0.002338478817538701, 1.4282325958909183],1258.895263305135,19928.91244145247
c2d Poly. Model,[1.5911224340748983e-09, 7.12552533032806],1261.907948908262,25363.852732056985
