,Model Parameters,Support Loss,Challenge Loss
dpmc Exp. Model,[0.00033950254296391573, 1.2671391266211556],4490.0406900481075,28641.88457624032
dpmc Poly. Model,[8.075430888832337e-15, 9.201154476235388],4490.371215206513,28870.265204726125
