,Model Parameters,Support Loss,Challenge Loss
c2d Exp. Model,[0.5313494286014138, 0.9999379760993586],27.642158180685435,59.606073877623615
c2d Poly. Model,[0.5351816176193662, -0.002620010742703016],27.64219031778727,59.60882168628705
