,38,39,40,41,42,43,44,45,46,47,48,49,50
# of instances,16.0,36.0,128.0,288.0,403.0,520.0,611.0,666.0,674.0,796.0,602.0,280.0,70.0
mean,0.5237499999999999,0.5233333333333332,0.5333593749999996,0.5339930555555558,0.5290570719602994,0.5377500000000005,0.5277250409165299,0.5493843843843845,0.5367507418397611,0.5219095477386934,0.5325083056478399,0.5172142857142853,0.5124285714285717
Q(0.1),[0.48955127208925336, 0.48955127208925336],[0.4702293225878877, 0.4702293225878877],[0.4905941408042641, 0.4905941408042641],[0.4997907900779217, 0.4997907900779217],[0.49022283060254007, 0.49022283060254007],[0.4901321927560455, 0.4901321927560455],[0.4903825714803217, 0.4903825714803217],[0.49023428284293896, 0.49023428284293896],[0.4808048474108411, 0.4808048474108411],[0.48041004936121995, 0.48041004936121995],[0.48020104337255154, 0.48020104337255154],[0.4799987651617169, 0.4799987651617169],[0.4708188505397247, 0.4708188505397247]
Q(0.25),[0.49022410162929597, 0.49022410162929597],[0.500133938347438, 0.500133938347438],[0.5102578767727121, 0.5102578767727121],[0.5102027453914131, 0.5102027453914131],[0.5099036986919309, 0.5099036986919309],[0.5099614266223997, 0.5099614266223997],[0.5099905326001302, 0.5099905326001302],[0.5099996615933993, 0.5099996615933993],[0.5000743129053411, 0.5000743129053411],[0.49993251187625276, 0.49993251187625276],[0.49033769987554926, 0.49033769987554926],[0.49027579339971217, 0.49027579339971217],[0.49994928205062605, 0.49994928205062605]
median,[0.5304030570558306, 0.5304030570558306],[0.5199743545876847, 0.5199743545876847],[0.5301549133467776, 0.5301549133467776],[0.5300707340195481, 0.5300707340195481],[0.5299113062529696, 0.5299113062529696],[0.5298799339244961, 0.5298799339244961],[0.5297861937446032, 0.5297861937446032],[0.5201500918972408, 0.5201500918972408],[0.5200127118678615, 0.5200127118678615],[0.5199056327814555, 0.5199056327814555],[0.519759116951505, 0.519759116951505],[0.5100244129732068, 0.5100244129732068],[0.51011441138812, 0.51011441138812]
Q(0.75),[0.5400256899014991, 0.5400256899014991],[0.5399538294273574, 0.5399538294273574],[0.5500124418962643, 0.5500124418962643],[0.5498663797158877, 0.5498663797158877],[0.5497969326624766, 0.5497969326624766],[0.5400046257641776, 0.5400046257641776],[0.5400871417589503, 0.5400871417589503],[0.5400788638696998, 0.5400788638696998],[0.5399942310783762, 0.5399942310783762],[0.539675960089036, 0.539675960089036],[0.5325364504993791, 0.5325364504993791],[0.5299861234366398, 0.5299861234366398],[0.5299406921186994, 0.5299406921186994]
Q(0.9),[0.5594236529180002, 0.5594236529180002],[0.5698879748973158, 0.5698879748973158],[0.5696653954960157, 0.5696653954960157],[0.5698285233174044, 0.5698285233174044],[0.5693445479674636, 0.5693445479674636],[0.5597817731399827, 0.5597817731399827],[0.5600697507843102, 0.5600697507843102],[0.5692957337561966, 0.5692957337561966],[0.5600392754586772, 0.5600392754586772],[0.5595839864904958, 0.5595839864904958],[0.5596177465040942, 0.5596177465040942],[0.5502469370474677, 0.5502469370474677],[0.5401052083396065, 0.5401052083396065]
