,Model Parameters,Support Loss,Challenge Loss
c2d Exp. Model,[0.5338589174594148, 1.0003025842275646],34.92297176434971,78.33810315456199
c2d Poly. Model,[0.5346305311736548, 0.002765895016182185],34.92456427305839,78.1844276524932
